PK,국가코드,날짜,확진자,,사망자,,완치자,,사망률,완치율,인구수,발생률,사이트
,,,일일,누적,일일,누적,일일,누적,,,,,
1,AFG,2019-12-31,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
2,AFG,2020-01-01,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
3,AFG,2020-01-02,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
4,AFG,2020-01-03,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
5,AFG,2020-01-04,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
6,AFG,2020-01-05,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
7,AFG,2020-01-06,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
8,AFG,2020-01-07,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
9,AFG,2020-01-08,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
10,AFG,2020-01-09,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
11,AFG,2020-01-10,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
12,AFG,2020-01-11,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
13,AFG,2020-01-12,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
14,AFG,2020-01-13,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
15,AFG,2020-01-14,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
16,AFG,2020-01-15,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
17,AFG,2020-01-16,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
18,AFG,2020-01-17,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
19,AFG,2020-01-18,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
20,AFG,2020-01-19,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
21,AFG,2020-01-20,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
22,AFG,2020-01-21,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
23,AFG,2020-01-22,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
24,AFG,2020-01-23,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
25,AFG,2020-01-24,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
26,AFG,2020-01-25,0,0,0,0,0,0,0,0,38928341,0,ourworldindata.org
